"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean","Coordination",-1,"gaze_duration","MoTR",0.0101069526652179,-0.01206575678314,-0.0314996475,0.009092587,-4.74239070623602,-12.3671609598244,3.62684298525553
"mean1","Coordination",0,"gaze_duration","MoTR",0.0239200550929521,0.0534691617072,0.005405756,0.1003378,20.0640131623365,1.94846176406627,38.3985773881392
"mean2","Coordination",1,"gaze_duration","MoTR",0.0171564658303015,0.047670937281,0.01334444,0.0808206425,17.3626679301423,4.67202360667239,30.1489515605922
"mean3","Coordination",2,"gaze_duration","MoTR",0.0176757416886352,-0.0230126225972725,-0.0586409775,0.011677765,-7.67965166842443,-19.1144837566879,4.00183403899058
"mean4","Coordination",-1,"go_past_time","MoTR",0.012905332304495,-0.0179319301462825,-0.0424314725,0.00740665350000001,-7.68772161249367,-18.0507649592505,3.23472161540111
"mean5","Coordination",0,"go_past_time","MoTR",0.0239337616039641,0.06001096912075,0.01170073,0.105890725,23.8565726572281,4.44633925228138,43.0588127904519
"mean6","Coordination",1,"go_past_time","MoTR",0.0205327626523866,0.0706774318014,0.0284477975,0.1106512,29.1273314302865,11.4208742471591,46.8000434192368
"mean7","Coordination",2,"go_past_time","MoTR",0.0341534122633636,0.0570899898982512,-0.0092105655,0.12231015,32.5124189663207,-5.12953994516817,71.7273662144522
"mean8","Coordination",-1,"go_past_time","G-Maze",0.0309495236778788,0.0044316239596725,-0.05799023,0.06427105,3.89696534745881,-46.2915524199624,54.515424812888
"mean9","Coordination",0,"go_past_time","G-Maze",0.0320770660114971,-0.0160315971882175,-0.07956114,0.0465638625,-21.2916783712495,-105.546406118218,67.0295855353275
"mean10","Coordination",1,"go_past_time","G-Maze",0.022065019891802,0.001706862725265,-0.041055085,0.0456983975,1.90366262437319,-38.6268894449714,45.2092234708198
"mean11","Coordination",2,"go_past_time","G-Maze",0.022044147558844,-0.01933743997765,-0.0629856875,0.024217635,-17.2236450098806,-55.458630548044,22.4423035656797
"mean12","Coordination",-1,"go_past_time","A-Maze",0.0273820410799013,-0.00671233690535,-0.0607121925,0.045996775,-4.20268794576825,-39.8589385960414,33.0255098503015
"mean13","Coordination",0,"go_past_time","A-Maze",0.0302374850871832,0.0788593789224,0.0202734925,0.13824475,99.6103927445821,24.0146909273072,180.638057568896
"mean14","Coordination",1,"go_past_time","A-Maze",0.0216981671730808,-0.023002334298925,-0.065930695,0.0196343175,-19.1457987148083,-54.7410861420894,16.6251103002419
"mean15","Coordination",2,"go_past_time","A-Maze",0.0156739653739357,0.003206851770725,-0.0281090925,0.03385138,2.53567624942992,-21.0430346074583,26.2543571255774
"mean16","Coordination",-1,"go_past_time","SPR",0.0205813515746914,0.013319600358725,-0.029445525,0.0533217675,4.0145110070521,-9.46779045742115,16.1524365896297
"mean17","Coordination",0,"go_past_time","SPR",0.0235546098292777,0.01071055612545,-0.0359939125,0.0567520225,3.25986540361811,-10.4337553951107,17.6311082629336
"mean18","Coordination",1,"go_past_time","SPR",0.0256163214455354,0.023518792100285,-0.0254979725,0.07428254,7.05879689739947,-7.45627372761499,22.7709094631747
"mean19","Coordination",2,"go_past_time","SPR",0.0186817777179501,0.022475654868725,-0.0141210225,0.06007909,7.29229982902602,-4.4861192708505,20.0388505051674
"mean20","Coordination",-1,"total_duration","MoTR",0.0162737518814922,0.037939256119,0.0061840395,0.0700099625,18.485035418406,2.94278455632226,34.5739498281574
"mean21","Coordination",0,"total_duration","MoTR",0.0262402075647668,0.083994204457,0.0319194675,0.13524795,37.3361533073097,13.2143472192594,62.2531793004036
"mean22","Coordination",1,"total_duration","MoTR",0.0213132640814671,0.06272442819675,0.0202502975,0.102482225,25.8131854849486,8.06828160537651,44.1286539347595
"mean23","Coordination",2,"total_duration","MoTR",0.0237290294622261,0.00316832212673925,-0.04406042,0.0511488175,1.30041494145745,-15.9204454984435,19.5006256466594
"mean24","Coordination",-1,"FPReg","MoTR",0.165178577383273,-0.067238157753275,-0.3918599,0.252580375,-0.00724646986098825,-0.044297285741732,0.0356580134791021
"mean25","Coordination",0,"FPReg","MoTR",0.293336221476508,0.53799402935175,-0.0154099175,1.13796625,0.0134562304543621,-0.000298806859816336,0.0349648456177406
"mean26","Coordination",1,"FPReg","MoTR",0.325650346249127,1.03429938015,0.412831075,1.70881975,0.0379972465475712,0.0104672150448273,0.0791422115442962
"mean27","Coordination",2,"FPReg","MoTR",0.15567907541759,0.4178046413025,0.10870415,0.717567875,0.0824969607033809,0.0197894100612709,0.15215167171249
"mean28","Relative Clause",-1,"gaze_duration","MoTR",0.0103577385320899,-0.0055083568889315,-0.0259326225,0.01477484,-2.16018335188847,-10.2112317141906,5.83956558288808
"mean29","Relative Clause",0,"gaze_duration","MoTR",0.0170424982144991,0.03372736325695,0.000534291075,0.0671173625,14.4117188510475,0.217541658282799,29.1821340669225
"mean30","Relative Clause",1,"gaze_duration","MoTR",0.0184302694578611,0.0214846528343975,-0.0154112475,0.05723077,8.00786225273272,-5.66444299280219,21.4950724472634
"mean31","Relative Clause",2,"gaze_duration","MoTR",0.0160139358843603,0.00576334738828,-0.0265133175,0.03674592,2.20319409747569,-9.62207074467901,13.8415273940128
"mean32","Relative Clause",-1,"go_past_time","MoTR",0.0135273215686983,0.007255324681265,-0.0184632875,0.03398693,3.16651243689938,-8.01853780496217,14.8249968920332
"mean33","Relative Clause",0,"go_past_time","MoTR",0.0212925566853367,0.0559154740671225,0.01355393,0.0979327575,26.2489656950882,6.03823062347738,47.1202666320855
"mean34","Relative Clause",1,"go_past_time","MoTR",0.0263469948403628,0.038290056668475,-0.014770945,0.0889779025,16.0090114191842,-5.97406059880253,38.1369984593434
"mean35","Relative Clause",2,"go_past_time","MoTR",0.0286656473360718,0.0118783102164,-0.0462847775,0.0662878525,6.64866683519485,-24.6809249507308,37.1151751780097
"mean36","Relative Clause",-1,"go_past_time","G-Maze",0.0339242101273011,-0.0265271081558975,-0.093759995,0.038761935,-19.464776275724,-67.7901275172323,31.5808185100768
"mean37","Relative Clause",0,"go_past_time","G-Maze",0.0383751488991762,0.0978275351495,0.0168427875,0.169391275,101.136966369118,15.9754116225718,181.937392016778
"mean38","Relative Clause",1,"go_past_time","G-Maze",0.0312791775356269,0.052448864223,-0.010813885,0.11221945,55.9899530504698,-11.5042064831956,124.02785897011
"mean39","Relative Clause",2,"go_past_time","G-Maze",0.0321421582458113,-0.0389139595234125,-0.102909325,0.0248546175,-38.2441539669409,-101.247963555285,24.5559713003128
"mean40","Relative Clause",-1,"go_past_time","A-Maze",0.0336367537078581,0.02246001346,-0.043553425,0.0886215675,15.6234522086406,-30.142722326793,62.3807151629639
"mean41","Relative Clause",0,"go_past_time","A-Maze",0.0319610829102284,0.08205482321,0.0180576275,0.144442625,74.5673271806789,16.0544996175073,136.069394838688
"mean42","Relative Clause",1,"go_past_time","A-Maze",0.0194934747300602,0.00030561791161,-0.0379532075,0.038556885,0.371876595707604,-32.020003503296,33.9308312707924
"mean43","Relative Clause",2,"go_past_time","A-Maze",0.0376120671812195,0.0239726201559005,-0.0451691225,0.104486775,20.4092377685173,-37.93219661402,88.16310017652
"mean44","Relative Clause",-1,"go_past_time","SPR",0.0181214267223,-0.008131771655525,-0.043733985,0.0283011425,-2.38406324451359,-13.0441182381097,8.60026758387552
"mean45","Relative Clause",0,"go_past_time","SPR",0.0245227192354208,-0.0061821080866875,-0.0557617125,0.0423357925,-1.90097240265877,-17.8728876096913,14.1338566417353
"mean46","Relative Clause",1,"go_past_time","SPR",0.0210674224144809,0.023591376212125,-0.018188675,0.0640487425,7.66154291213921,-5.7718946641745,21.3350985337987
"mean47","Relative Clause",2,"go_past_time","SPR",0.0196351571625242,0.0235399813518275,-0.0152062375,0.0612080225,7.96306361222538,-4.98571960720913,21.6584022790289
"mean48","Relative Clause",-1,"total_duration","MoTR",0.0216514621345254,0.04365505557266,-0.000565047625,0.085013945,22.2341693246827,-0.28843384510326,43.9399057240219
"mean49","Relative Clause",0,"total_duration","MoTR",0.0248367273550573,0.109875315075,0.060378535,0.15893415,63.9834335071512,34.4599669608601,94.8833300657765
"mean50","Relative Clause",1,"total_duration","MoTR",0.02636133378352,0.049436946362,-0.00330694875,0.10206255,22.1815414086835,-1.44678887718141,46.8069282824497
"mean51","Relative Clause",2,"total_duration","MoTR",0.0231692049984174,0.028469541441025,-0.0174651775,0.073232015,12.2998385581978,-7.44792071988065,31.6082945161872
"mean52","Relative Clause",-1,"FPReg","MoTR",0.236599747425599,0.03099144236314,-0.441972925,0.49841075,0.00427909226163554,-0.029614337543348,0.0490480422162852
"mean53","Relative Clause",0,"FPReg","MoTR",0.247658617266865,0.736686173325,0.26975875,1.245675,0.0305759985194666,0.00874559037951986,0.0604751303625409
"mean54","Relative Clause",1,"FPReg","MoTR",0.399692580107958,0.59043984277075,-0.180192675,1.36168,0.0159707624059295,-0.00281009719511541,0.0485891922542769
"mean55","Relative Clause",2,"FPReg","MoTR",0.138522852465388,0.127812723146575,-0.14316135,0.397624625,0.0309386566607297,-0.033413725901616,0.0964404409367092
"mean56","Adverb",-1,"gaze_duration","MoTR",0.0105880590088308,0.011626208930065,-0.008687508,0.0323477125,4.60615592997044,-3.39447623626692,12.9591095545985
"mean57","Adverb",0,"gaze_duration","MoTR",0.0170625499508081,0.0668834929525,0.0339470175,0.101857525,28.9634834807137,14.058439353659,45.1236194263004
"mean58","Adverb",1,"gaze_duration","MoTR",0.0134090842655819,0.04282462731575,0.0175518375,0.06963399,14.1408746057207,5.74369995606911,23.2530035701513
"mean59","Adverb",2,"gaze_duration","MoTR",0.0183945377128026,0.005436103237185,-0.02984604,0.0432469775,1.92635911376942,-9.96956151769484,15.0350255484001
"mean60","Adverb",-1,"go_past_time","MoTR",0.0123408492597,0.011767384454215,-0.0124275575,0.0362821225,5.11146244961731,-5.37968219686774,15.796739821549
"mean61","Adverb",0,"go_past_time","MoTR",0.0235541163595756,0.1293463482,0.083754885,0.17596225,64.6376458513434,39.4951176688822,93.0840701898164
"mean62","Adverb",1,"go_past_time","MoTR",0.0196916393499776,0.09875525355,0.060647235,0.13806755,37.2079095222596,22.2319788667073,53.1122685729431
"mean63","Adverb",2,"go_past_time","MoTR",0.0383362818173504,0.07181437905,-0.0036642695,0.147068025,41.970006825725,-1.99159800807881,88.654135851701
"mean64","Adverb",-1,"go_past_time","G-Maze",0.050707577979036,-0.00316617000895,-0.10391175,0.0989681975,-1.76469489877804,-80.9697054239065,81.916579619578
"mean65","Adverb",0,"go_past_time","G-Maze",0.0591174592295121,0.151950263339688,0.02518793,0.256686,168.132069357694,24.9474436610154,307.937914430378
"mean66","Adverb",1,"go_past_time","G-Maze",0.0339365430792155,0.016482086041925,-0.050050165,0.0844539125,16.1837458872054,-45.0169906659886,82.9007271020332
"mean67","Adverb",2,"go_past_time","G-Maze",0.0406628427767358,0.0384392791570885,-0.04434145,0.118723475,34.8298695097278,-38.2462081508401,109.756446291757
"mean68","Adverb",-1,"go_past_time","A-Maze",0.0354915088846717,0.0367848815653425,-0.0330157125,0.10649305,28.0463994304567,-25.3394484378082,80.8609311007727
"mean69","Adverb",0,"go_past_time","A-Maze",0.0323561660888837,0.185403996225,0.12026085,0.245773325,177.990960844536,104.72358908346,254.239617113833
"mean70","Adverb",1,"go_past_time","A-Maze",0.0194243521882255,0.04539963068375,0.00741928125,0.0836305275,36.5193280567499,5.93144686354304,68.4405923301037
"mean71","Adverb",2,"go_past_time","A-Maze",0.020707883425767,0.011821467112935,-0.02807494,0.05288807,9.48530315569571,-21.7434179467174,42.4347679770579
"mean72","Adverb",-1,"go_past_time","SPR",0.0214951521855125,-0.012054709879545,-0.054179555,0.0301462675,-3.51316549416525,-15.7618496900707,9.87315458254971
"mean73","Adverb",0,"go_past_time","SPR",0.0230658695671389,0.0183388396959245,-0.0257247625,0.06317952,5.76353475384037,-7.88756719222009,20.3016320692686
"mean74","Adverb",1,"go_past_time","SPR",0.0206265588409072,0.05520841259675,0.016140045,0.09532845,16.8882309874312,4.59726605253868,30.6112262954887
"mean75","Adverb",2,"go_past_time","SPR",0.023384620624966,-0.00802558394069025,-0.053005655,0.0389392625,-2.33401551874365,-16.473262874078,14.5181198383057
"mean76","Adverb",-1,"total_duration","MoTR",0.0162963658877135,0.0622915103725,0.0310972675,0.094470325,29.3486737430887,14.4010334854135,45.4944780965094
"mean77","Adverb",0,"total_duration","MoTR",0.0240289841338876,0.155749173175,0.107639525,0.204284625,80.6182202584912,52.8959555191799,110.374676345235
"mean78","Adverb",1,"total_duration","MoTR",0.0182958515648416,0.0857204455,0.0504561425,0.12151305,31.2562044922695,17.901096742479,45.2299362205648
"mean79","Adverb",2,"total_duration","MoTR",0.024850195210672,0.02375047857675,-0.0250273625,0.072907195,8.99485987698919,-8.99982401146851,28.0095198758851
"mean80","Adverb",-1,"FPReg","MoTR",0.207351474904784,-0.019586577358901,-0.4160867,0.381771725,-0.000211927220559819,-0.0302944645947998,0.036183671865659
"mean81","Adverb",0,"FPReg","MoTR",0.280635994726729,1.3692984675,0.84312485,1.96142,0.0940569508603154,0.0428810457317559,0.162891245583907
"mean82","Adverb",1,"FPReg","MoTR",0.371633690007674,1.80302915375,1.09253925,2.544947,0.0745405453957444,0.0298866452193211,0.139791588763822
"mean83","Adverb",2,"FPReg","MoTR",0.188303304003756,0.5706236991,0.205973025,0.943474725,0.0722244627233907,0.0227992168473086,0.129112345607353
