"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms","median","Q1","Q3"
"mean","Coordination",-1,"gaze_duration","MoTR",0.010329355803866,-0.0091185486993025,-0.0291266425,0.0112798125,-3.69024979746033,-11.904470791023,4.53236042668229,-3.63133834521196,-6.4074571292754,-0.911548941577792
"mean1","Coordination",0,"gaze_duration","MoTR",0.0230987692689466,0.0560405846807,0.010415235,0.100675475,20.5051537999504,3.75717956713499,37.1239393152701,20.5256897624046,14.881669378874,26.0709890848347
"mean2","Coordination",1,"gaze_duration","MoTR",0.017238206425622,0.045734105130925,0.00997557175,0.0788846625,16.4873733520317,3.54816711527128,28.4164574093845,16.5644323702931,12.3793515505508,20.7114555742021
"mean3","Coordination",2,"gaze_duration","MoTR",0.0355044161517763,-0.01628476182195,-0.0849947525,0.053778355,-9.77643382780394,-51.0194768880818,32.2248608960595,-9.6139082996541,-23.9543272247134,4.54962578247262
"mean4","Coordination",-1,"go_past_time","MoTR",0.0150553055193176,-0.01269470155552,-0.0430712175,0.0179005925,-5.65662739477489,-19.2826358874762,7.96050439382806,-5.58724179077768,-9.94886536073736,-1.54867067226114
"mean5","Coordination",0,"go_past_time","MoTR",0.0262523366174158,0.06390356177325,0.0122527375,0.114262,25.1450490462296,4.73643250234667,45.9892501258461,25.1488549649679,18.1090226557984,32.2588907406967
"mean6","Coordination",1,"go_past_time","MoTR",0.0276123626225505,0.091228617655,0.036028875,0.14593035,39.0125705088623,15.5309814529628,63.3706953457219,39.0889498106521,31.0372139023715,47.1879712424931
"mean7","Coordination",2,"go_past_time","MoTR",0.044676367016919,0.13247876912775,0.0456064625,0.22092165,175.973448383264,58.7519111224719,301.160100839936,175.564730674776,134.702507786096,213.809775102739
"mean8","Coordination",-1,"go_past_time","G-Maze",0.033545298801283,0.006130210195025,-0.057516545,0.0700127125,5.0061770860079,-47.2261189282321,59.4637419250446,4.84068251299897,-13.5670568017833,23.28133088573
"mean9","Coordination",0,"go_past_time","G-Maze",0.0318817059649936,-0.01608766647875,-0.079918355,0.04562232,-22.3298561169044,-111.557197969955,63.4342882874491,-21.2455236090426,-51.7776971584838,6.89275194191242
"mean10","Coordination",1,"go_past_time","G-Maze",0.021836048720887,0.002274348487695,-0.040741585,0.0447028275,2.19493917720208,-39.5599022581805,43.2934795961127,2.20356050807976,-11.850940892194,16.3099928474998
"mean11","Coordination",2,"go_past_time","G-Maze",0.0219662730312834,-0.019348427613145,-0.0620825225,0.0241175525,-17.562372265233,-57.0238228630431,21.5776857533348,-17.5632636783488,-30.9781949629819,-4.21802161484305
"mean12","Coordination",-1,"go_past_time","A-Maze",0.032705045237132,0.01739843682405,-0.0442266275,0.0829020675,12.9781791808849,-32.2791473185789,64.2032060486783,12.3774911688888,-3.30186891066506,28.4927270825925
"mean13","Coordination",0,"go_past_time","A-Maze",0.0295072390429253,0.079964306170775,0.0213291425,0.13756925,96.7775063662302,26.2262939509849,169.220451811422,95.9125598804189,72.3069818505314,120.253084034832
"mean14","Coordination",1,"go_past_time","A-Maze",0.0220285257310688,-0.0229852932001925,-0.06755328,0.01857748,-19.5065134030656,-57.9114323011539,15.6021393639069,-19.0670500145511,-31.7457255927739,-7.01915150912063
"mean15","Coordination",2,"go_past_time","A-Maze",0.0160225026957354,0.0036992608918325,-0.0269673875,0.035487555,2.79490559119312,-20.8946999409687,26.8932698506508,2.92009705291434,-5.4991686576964,10.5938895698149
"mean16","Coordination",-1,"go_past_time","SPR",0.0247193246453541,0.0133515722703825,-0.03507378,0.0627312625,4.38084180116464,-11.9929262405775,20.6268626015577,4.32264495213849,-1.08268709980962,9.90380373494934
"mean17","Coordination",0,"go_past_time","SPR",0.026818618142124,0.02280856012624,-0.031015235,0.0754981525,6.99087588330533,-9.68454954962795,23.5078073278603,6.83760419543333,1.60024671039284,12.4061091867437
"mean18","Coordination",1,"go_past_time","SPR",0.0260422146864982,0.021610261849935,-0.03039187,0.07210889,6.4134687777658,-9.18178549845766,21.4747110845993,6.60470076411207,1.25776680131958,11.5665213917485
"mean19","Coordination",2,"go_past_time","SPR",0.0219068622132906,0.0134786476459937,-0.0295215125,0.056966285,4.43584391195535,-9.92998801243705,19.1933461167337,4.36945406034172,-0.298617910597258,9.06304047836282
"mean20","Coordination",-1,"total_duration","MoTR",0.0219086485878818,0.052128954477925,0.0080065085,0.0951163975,26.8014012910941,4.0716111985568,49.2156969801984,26.6249546547539,19.0191608750917,34.4964770998529
"mean21","Coordination",0,"total_duration","MoTR",0.0272564111384127,0.1061178571125,0.0514856425,0.159767175,47.3119465305679,22.5527314839605,72.0192603759739,47.4070962368663,39.0435641282983,55.8405028254058
"mean22","Coordination",1,"total_duration","MoTR",0.027353875548832,0.07307311576725,0.01778305,0.126145875,31.9089985891346,7.36022983320104,56.225015894562,31.816200454223,23.7395502215432,40.1103308013589
"mean23","Coordination",2,"total_duration","MoTR",0.0374580907754987,-0.00148197963465,-0.0741517875,0.0710872525000001,-1.00573346398003,-51.9098751563347,49.9028088595606,-0.99602053795769,-18.4255117097447,16.2654176423829
"mean24","Coordination",-1,"FPReg","MoTR",0.175279595746461,-0.06972981082525,-0.4136256,0.264527325,-0.00904590705246737,-0.0541457933969585,0.034073072295472,-0.99602053795769,-18.4255117097447,16.2654176423829
"mean25","Coordination",0,"FPReg","MoTR",0.305861011667722,0.533631383231,-0.05837868,1.144362,0.00948411955541332,-0.00100236052258804,0.0210123150268309,-0.99602053795769,-18.4255117097447,16.2654176423829
"mean26","Coordination",1,"FPReg","MoTR",0.327952534473496,1.029426037225,0.39406785,1.68716975,0.0222185109324043,0.0079792619260763,0.0397603193564311,-0.99602053795769,-18.4255117097447,16.2654176423829
"mean27","Coordination",2,"FPReg","MoTR",0.161343720136852,0.4100258812275,0.0979708325,0.742580725,0.0727891616029043,0.0170933016299772,0.131528060635385,-0.99602053795769,-18.4255117097447,16.2654176423829
"mean28","Relative Clause",-1,"gaze_duration","MoTR",0.0103928919158705,-0.005906159711765,-0.0274557925,0.014239875,-2.40462177168551,-11.1085047762902,5.72644722246553,-2.3177256745181,-5.0853467941713,0.360522149458561
"mean29","Relative Clause",0,"gaze_duration","MoTR",0.0200588782306274,0.035665393497425,-0.00365470125,0.0739119125,15.2829965968206,-1.59274214834446,31.9604097251808,15.3667056849761,9.51460719400961,20.9896725066478
"mean30","Relative Clause",1,"gaze_duration","MoTR",0.0200116274511696,0.0289297470849,-0.009936838,0.0680129275,10.773504607839,-3.76350147129027,25.2042202635845,10.8333945827252,5.68144788842991,15.723620853155
"mean31","Relative Clause",2,"gaze_duration","MoTR",0.0257896086365004,0.024194929860035,-0.027326515,0.07304224,12.7865017259259,-14.8674184077496,38.4583796428448,13.0148830817904,3.83167080489625,22.064971703916
"mean32","Relative Clause",-1,"go_past_time","MoTR",0.0147758606602726,-0.00016359784425,-0.028561985,0.0282196675,-0.103232848724971,-12.7451609205912,12.4254115914934,-0.016664116803554,-4.45849701978803,4.22202276937597
"mean33","Relative Clause",0,"go_past_time","MoTR",0.0267491820950107,0.07598276417,0.023389985,0.128993825,36.8566212986495,11.1118446267358,62.9345359431269,36.7909003045261,28.2668684700325,45.0861895403858
"mean34","Relative Clause",1,"go_past_time","MoTR",0.0345182061893678,0.07539796326625,0.0049996125,0.14035825,32.9248414196238,2.11744558878499,62.4071341232635,33.0540596869161,22.5404121716477,43.3441557598671
"mean35","Relative Clause",2,"go_past_time","MoTR",0.0472356584145926,0.077712294525475,-0.015607955,0.1689406,95.4667620817126,-20.3279587386357,208.877961991728,96.266621682748,57.2854682794987,133.709922766583
"mean36","Relative Clause",-1,"go_past_time","G-Maze",0.0357119108864508,-0.017312389364975,-0.08709513,0.052194475,-13.7154851398817,-68.4757506968896,42.579815313961,-13.5037349728747,-32.6659853856983,5.01547161119063
"mean37","Relative Clause",0,"go_past_time","G-Maze",0.0367410147744027,0.099489195355,0.027187995,0.169146575,97.1483488166986,26.2603631575619,167.078174446713,96.5732089711753,72.6609621838719,121.436221056026
"mean38","Relative Clause",1,"go_past_time","G-Maze",0.0298746527044205,0.0529157902784,-0.00565353825,0.1127416,54.4275132279555,-5.77735938090615,117.021993297279,54.0072465341846,34.2596433824022,74.6639334800792
"mean39","Relative Clause",2,"go_past_time","G-Maze",0.0318808388604734,-0.0376778376501,-0.0996674725,0.0244919275,-38.1986118516003,-103.478823298705,24.4005308666682,-37.176222706167,-59.1687134685058,-16.6036232788419
"mean40","Relative Clause",-1,"go_past_time","A-Maze",0.0329143701371824,0.02814233667235,-0.0367309,0.0943005925,19.4914517842221,-26.1177459613743,65.5808528448411,19.3876889662129,4.82963797786891,34.5922652385701
"mean41","Relative Clause",0,"go_past_time","A-Maze",0.030031200641043,0.08406708710725,0.0248142725,0.140373375,73.0067814538259,20.7698544609258,123.526661239542,73.0423501855069,55.4953587819672,91.1969022071944
"mean42","Relative Clause",1,"go_past_time","A-Maze",0.0196594641907486,0.000514986759640001,-0.0375481425,0.0381011225,0.414824167203959,-31.9840518732154,32.6428572401637,0.586126232020945,-10.9659634585519,11.4412002673151
"mean43","Relative Clause",2,"go_past_time","A-Maze",0.038151611329771,0.0257544310178,-0.044554585,0.10929875,21.1157165066689,-38.8984247909455,90.4490376516828,18.8637792776029,0.364670797226324,40.8731364908213
"mean44","Relative Clause",-1,"go_past_time","SPR",0.026472398366736,0.00577047716855,-0.0461598825,0.0575274375,1.86333635674502,-14.8021203718326,18.5319866377167,1.88273291019482,-3.79504982528434,7.55159581237805
"mean45","Relative Clause",0,"go_past_time","SPR",0.0283901610575465,-0.0070404369565075,-0.0626666275,0.05061447,-2.45667585480724,-21.8743485746316,17.7820735832964,-2.61962306112463,-9.04709216170198,3.85766781455368
"mean46","Relative Clause",1,"go_past_time","SPR",0.0241358167075966,0.0228733747345975,-0.023960135,0.0716493,7.4476618237316,-7.85144012807897,23.2098484577725,7.3583715206303,2.12326419126015,12.5845810538103
"mean47","Relative Clause",2,"go_past_time","SPR",0.0230166865740655,0.025381729654755,-0.0202439675,0.0701368175,8.73057846586894,-7.06558466224969,24.2781980806796,8.74807032262396,3.43382118718453,13.9773190052716
"mean48","Relative Clause",-1,"total_duration","MoTR",0.0249450902104625,0.0474914752266,-0.00370639225,0.09683706,25.5907368576995,-1.97928812951157,52.1659039301871,25.5505212314747,17.1289761392244,34.2904493642352
"mean49","Relative Clause",0,"total_duration","MoTR",0.0338122641618908,0.140759930825,0.07446066,0.20546575,84.2272514231085,44.3725594492617,123.847556754983,84.6083771566125,70.172662373812,98.2181884906136
"mean50","Relative Clause",1,"total_duration","MoTR",0.0279825229431504,0.0599707873,0.00613010725,0.11480505,27.4399659478366,2.77405246802805,52.7233517163283,27.2906355924816,18.6516197979771,36.2786008045114
"mean51","Relative Clause",2,"total_duration","MoTR",0.0311177246600303,0.030678533036535,-0.0301384425,0.09180436,19.8383040483596,-19.3450588243218,59.3521017644739,20.3304576709493,5.70249995258692,33.0556643620639
"mean52","Relative Clause",-1,"FPReg","MoTR",0.243498585528586,0.0392888225050055,-0.44522155,0.5066851,0.00317245387929672,-0.0354213442821524,0.0407264674818729,20.3304576709493,5.70249995258692,33.0556643620639
"mean53","Relative Clause",0,"FPReg","MoTR",0.251345025223669,0.7510009495925,0.276510825,1.256222,0.0211832853094694,0.007569833816893,0.0359100097613218,20.3304576709493,5.70249995258692,33.0556643620639
"mean54","Relative Clause",1,"FPReg","MoTR",0.392455778021084,0.62749712040025,-0.127510175,1.39174525,0.011049165954545,-0.00214337092393166,0.0266175550813929,20.3304576709493,5.70249995258692,33.0556643620639
"mean55","Relative Clause",2,"FPReg","MoTR",0.145979903798819,0.124138917819887,-0.169896925,0.40449655,0.0292796773121391,-0.0401957356222271,0.0952164530950045,20.3304576709493,5.70249995258692,33.0556643620639
"mean56","Adverb",-1,"gaze_duration","MoTR",0.0113913005743259,0.02015124455784,-0.00273306425,0.0417370275,8.07702209730892,-1.09379780178518,16.7412271116967,8.18090849719758,5.06407722104194,11.1791845306261
"mean57","Adverb",0,"gaze_duration","MoTR",0.0173445710881616,0.08179196725,0.04793734,0.11539815,35.2606641902949,20.0099596437895,50.670919429536,35.2702237529688,30.0527652274206,40.2834962456554
"mean58","Adverb",1,"gaze_duration","MoTR",0.020237014194,0.049792761354725,0.0086617805,0.0888976325,17.086898739635,2.89563089592558,30.6400735624838,17.1165939913771,12.5475332953044,21.7396633565986
"mean59","Adverb",2,"gaze_duration","MoTR",0.0386768419153605,-0.000000674907900000851,-0.07871821,0.0748635925,-0.076040223107491,-58.8896604843735,56.3385261507745,0.164158044296926,-18.9364265543352,19.1862269597151
"mean60","Adverb",-1,"go_past_time","MoTR",0.0144986377864497,0.0145252652457,-0.014066705,0.04290031,6.4392552812474,-6.23018216777902,18.8001113726231,6.37858154799216,2.04974218080746,10.8897602339837
"mean61","Adverb",0,"go_past_time","MoTR",0.0300780020081277,0.164194736875,0.104709125,0.223932725,80.6064684456427,49.7987398120792,115.211147651246,79.9758144786674,69.3667422103234,91.1949801674806
"mean62","Adverb",1,"go_past_time","MoTR",0.0315713681534616,0.1221351601775,0.0593821625,0.18309295,49.041088729131,23.4552701289914,74.450432117634,49.0863160599755,40.5761517528886,57.5250179879785
"mean63","Adverb",2,"go_past_time","MoTR",0.0444320257834462,0.0880634967738725,-0.0000105853472499994,0.1733612,115.50562862357,-0.0140878673857563,230.40475670481,115.284437657389,76.2838859646702,154.009759624645
"mean64","Adverb",-1,"go_past_time","G-Maze",0.055735644430488,-0.0167929582383,-0.1262822,0.09638751,-14.6285205726088,-109.770167893412,79.0104466385713,-13.2298136510868,-45.1934940852494,15.5036651635344
"mean65","Adverb",0,"go_past_time","G-Maze",0.057993172110621,0.15418538972275,0.0309282125,0.25917915,156.325662053833,30.0369724927899,276.046191714499,157.305352993484,115.68358896458,198.158548500782
"mean66","Adverb",1,"go_past_time","G-Maze",0.0346953249119908,0.0179458385873025,-0.05151145,0.084816545,16.9357755190234,-48.775622362843,80.6889362124969,16.814148314787,-4.54786099330769,37.9210929111092
"mean67","Adverb",2,"go_past_time","G-Maze",0.0399074274397462,0.03881270440987,-0.0423520725,0.114241125,33.7237708317477,-36.8096135478599,99.4259910307037,34.3315252449043,11.2894137592401,56.7030248850083
"mean68","Adverb",-1,"go_past_time","A-Maze",0.0396736351478003,0.027192562459435,-0.05139377,0.103409925,21.5261825075309,-45.3718116778518,82.6219834501038,22.1391131642693,-0.136273268146965,43.5602541071851
"mean69","Adverb",0,"go_past_time","A-Maze",0.0319689704542363,0.184276713775,0.119469675,0.244308875,160.092137801549,97.3901119982892,224.681569473164,159.602083891809,138.384869426642,181.35651552253
"mean70","Adverb",1,"go_past_time","A-Maze",0.0190779179514559,0.04466313399845,0.007038979,0.0832249275,35.0576600611845,5.55285299417376,65.452198723674,34.6414997870006,25.0165124945846,44.9839792617346
"mean71","Adverb",2,"go_past_time","A-Maze",0.0220242451968793,0.0060068558751875,-0.036608155,0.048947665,4.80386515720735,-28.9734281291472,39.0454485188508,4.87317053146046,-6.79695980533268,16.2640835228662
"mean72","Adverb",-1,"go_past_time","SPR",0.0246732069792039,-0.00659517177099,-0.05679603,0.0418723125,-1.95646089523122,-17.3516762375604,13.8926213313318,-2.12398283593018,-7.07291695188,3.23171514304511
"mean73","Adverb",0,"go_past_time","SPR",0.024365609202486,0.0145934723038675,-0.032409145,0.0635822075,4.51224131421252,-9.93269430999749,19.7112181334467,4.3924040172073,-0.57309692384122,9.36410721805684
"mean74","Adverb",1,"go_past_time","SPR",0.0213371497148503,0.06180724595425,0.020522405,0.1037094,18.3927334567353,5.78863854277656,32.0572721471548,18.233631904987,13.860795750331,22.7564052507649
"mean75","Adverb",2,"go_past_time","SPR",0.0268110084849045,-0.014435207834345,-0.0699236,0.039272165,-4.73364180495186,-23.1038001471563,14.4210125359447,-4.77951628000878,-10.7738488300896,0.9541126063816
"mean76","Adverb",-1,"total_duration","MoTR",0.0198677109156438,0.079786781285,0.041694685,0.119180075,38.3761758030559,19.6518358204136,57.8580318608988,38.5403788670373,31.8843284247424,44.7938053617361
"mean77","Adverb",0,"total_duration","MoTR",0.0286553294432338,0.18418530275,0.127111825,0.238701775,92.8751570463477,61.2845728523848,126.908907967739,92.566302874084,81.9692722763145,103.73863528087
"mean78","Adverb",1,"total_duration","MoTR",0.0314859239376842,0.069907648035,0.00886541025,0.131231525,27.4340592081589,3.45309592648374,51.8751454130298,27.3855749522263,19.197186938419,35.6967024457998
"mean79","Adverb",2,"total_duration","MoTR",0.038126717824841,0.00186214271935,-0.07446036,0.0740716225,1.53996121099903,-63.3779023544712,63.0000850316336,2.14631646286307,-19.5807527896833,23.0965012972574
"mean80","Adverb",-1,"FPReg","MoTR",0.208795350604973,-0.03043951017465,-0.446854225,0.386198575,-0.00251234763453526,-0.0365851955390406,0.0320134747019684,2.14631646286307,-19.5807527896833,23.0965012972574
"mean81","Adverb",0,"FPReg","MoTR",0.286615622273128,1.36566399375,0.820940525,1.942593,0.0503439763792731,0.0278019905529555,0.0758430536650556,2.14631646286307,-19.5807527896833,23.0965012972574
"mean82","Adverb",1,"FPReg","MoTR",0.355943119859502,1.8208009705,1.1210315,2.5382735,0.0316196492011285,0.0171303940425091,0.0491980564209405,2.14631646286307,-19.5807527896833,23.0965012972574
"mean83","Adverb",2,"FPReg","MoTR",0.183326288789144,0.58664900413925,0.2273148,0.949760825,0.0586069158800006,0.0239865401315531,0.0943996604293297,2.14631646286307,-19.5807527896833,23.0965012972574
