Study,Metric,Condition,Region,Region_Order,Value
Relative Clause,first_duration,Low attachment,herself/himself,1,260
Relative Clause,first_duration,Low attachment,on the set,2,179
Relative Clause,first_duration,Low attachment,was under investigation,3,236
Relative Clause,first_duration,Hight attachment,herself/himself,1,267
Relative Clause,first_duration,Hight attachment,on the set,2,188
Relative Clause,first_duration,Hight attachment,was under investigation,3,228
Relative Clause,go_past_time,Low attachment,herself/himself,1,314
Relative Clause,go_past_time,Low attachment,on the set,2,227
Relative Clause,go_past_time,Low attachment,was under investigation,3,212
Relative Clause,go_past_time,Hight attachment,herself/himself,1,339
Relative Clause,go_past_time,Hight attachment,on the set,2,250
Relative Clause,go_past_time,Hight attachment,was under investigation,3,211
Relative Clause,gaze_duration,Low attachment,herself/himself,1,277
Relative Clause,gaze_duration,Low attachment,on the set,2,198
Relative Clause,gaze_duration,Low attachment,was under investigation,3,205
Relative Clause,gaze_duration,Hight attachment,herself/himself,1,289
Relative Clause,gaze_duration,Hight attachment,on the set,2,212
Relative Clause,gaze_duration,Hight attachment,was under investigation,3,205
Relative Clause,total_duration,Low attachment,herself/himself,1,399
Relative Clause,total_duration,Low attachment,on the set,2,692
Relative Clause,total_duration,Low attachment,was under investigation,3,800
Relative Clause,total_duration,Hight attachment,herself/himself,1,414
Relative Clause,total_duration,Hight attachment,on the set,2,709
Relative Clause,total_duration,Hight attachment,was under investigation,3,787
Adverb,first_duration,Low attachment,"next week,/last week,",1,191
Adverb,first_duration,Low attachment,but she didn't buy,2,149
Adverb,first_duration,Low attachment,any cheese,3,193
Adverb,first_duration,Hight attachment,"next week,/last week,",1,214
Adverb,first_duration,Hight attachment,but she didn't buy,2,165
Adverb,first_duration,Hight attachment,any cheese,3,179
Adverb,go_past_time,Low attachment,"next week,/last week,",1,235
Adverb,go_past_time,Low attachment,but she didn't buy,2,162
Adverb,go_past_time,Low attachment,any cheese,3,187
Adverb,go_past_time,Hight attachment,"next week,/last week,",1,335
Adverb,go_past_time,Hight attachment,but she didn't buy,2,214
Adverb,go_past_time,Hight attachment,any cheese,3,180
Adverb,gaze_duration,Low attachment,"next week,/last week,",1,202
Adverb,gaze_duration,Low attachment,but she didn't buy,2,154
Adverb,gaze_duration,Low attachment,any cheese,3,182
Adverb,gaze_duration,Hight attachment,"next week,/last week,",1,254
Adverb,gaze_duration,Hight attachment,but she didn't buy,2,185
Adverb,gaze_duration,Hight attachment,any cheese,3,173
Adverb,total_duration,Low attachment,"next week,/last week,",1,356
Adverb,total_duration,Low attachment,but she didn't buy,2,680
Adverb,total_duration,Low attachment,any cheese,3,556
Adverb,total_duration,Hight attachment,"next week,/last week,",1,487
Adverb,total_duration,Hight attachment,but she didn't buy,2,797
Adverb,total_duration,Hight attachment,any cheese,3,513
Coordination,first_duration,Unambiguous,reported,1,223
Coordination,first_duration,Unambiguous,the crime,2,175
Coordination,first_duration,Unambiguous,to the police,3,179
Coordination,first_duration,Ambiguous,reported,1,246
Coordination,first_duration,Ambiguous,the crime,2,181
Coordination,first_duration,Ambiguous,to the police,3,182
Coordination,go_past_time,Unambiguous,reported,1,247
Coordination,go_past_time,Unambiguous,the crime,2,215
Coordination,go_past_time,Unambiguous,to the police,3,166
Coordination,go_past_time,Ambiguous,reported,1,297
Coordination,go_past_time,Ambiguous,the crime,2,288
Coordination,go_past_time,Ambiguous,to the police,3,171
Coordination,gaze_duration,Unambiguous,reported,1,230
Coordination,gaze_duration,Unambiguous,the crime,2,190
Coordination,gaze_duration,Unambiguous,to the police,3,162
Coordination,gaze_duration,Ambiguous,reported,1,263
Coordination,gaze_duration,Ambiguous,the crime,2,208
Coordination,gaze_duration,Ambiguous,to the police,3,166
Coordination,total_duration,Unambiguous,reported,1,296
Coordination,total_duration,Unambiguous,the crime,2,391
Coordination,total_duration,Unambiguous,to the police,3,561
Coordination,total_duration,Ambiguous,reported,1,375
Coordination,total_duration,Ambiguous,the crime,2,462
Coordination,total_duration,Ambiguous,to the police,3,605